Year,Sex,Cancer_Type,Aust_Mortality_to_incidence_ratio,Segi_Mortality_to_incidence_ratio,WHO_Mortality_to_incidence_ratio
1971,Male,Bowel cancer,,,
1972,Male,Bowel cancer,,,
1973,Male,Bowel cancer,,,
1974,Male,Bowel cancer,,,
1975,Male,Bowel cancer,,,
1976,Male,Bowel cancer,,,
1977,Male,Bowel cancer,,,
1978,Male,Bowel cancer,,,
1979,Male,Bowel cancer,,,
1980,Male,Bowel cancer,,,
1981,Male,Bowel cancer,,,
1982,Male,Bowel cancer,0.56,0.52,0.53
1983,Male,Bowel cancer,0.56,0.52,0.53
1984,Male,Bowel cancer,0.52,0.49,0.5
1985,Male,Bowel cancer,0.52,0.48,0.5
1986,Male,Bowel cancer,0.52,0.49,0.5
1987,Male,Bowel cancer,0.53,0.5,0.51
1988,Male,Bowel cancer,0.52,0.48,0.5
1989,Male,Bowel cancer,0.49,0.46,0.47
1990,Male,Bowel cancer,0.47,0.44,0.45
1991,Male,Bowel cancer,0.45,0.42,0.43
1992,Male,Bowel cancer,0.47,0.43,0.45
1993,Male,Bowel cancer,0.46,0.43,0.44
1994,Male,Bowel cancer,0.46,0.44,0.45
1995,Male,Bowel cancer,0.44,0.41,0.42
1996,Male,Bowel cancer,0.42,0.4,0.41
1997,Male,Bowel cancer,0.43,0.4,0.41
1998,Male,Bowel cancer,0.42,0.39,0.4
1999,Male,Bowel cancer,0.41,0.38,0.39
2000,Male,Bowel cancer,0.38,0.36,0.37
2001,Male,Bowel cancer,0.38,0.36,0.37
2002,Male,Bowel cancer,0.36,0.33,0.34
2003,Male,Bowel cancer,0.36,0.33,0.34
2004,Male,Bowel cancer,0.32,0.29,0.3
2005,Male,Bowel cancer,0.33,0.31,0.31
2006,Male,Bowel cancer,0.29,0.27,0.28
2007,Male,Bowel cancer,0.29,0.27,0.28
2008,Male,Bowel cancer,0.28,0.25,0.26
2009,Male,Bowel cancer,0.29,0.27,0.28
2010,Male,Bowel cancer,0.27,0.24,0.25
2011,Male,Bowel cancer,,,
1968,Female,Bowel cancer,,,
1969,Female,Bowel cancer,,,
1970,Female,Bowel cancer,,,
1971,Female,Bowel cancer,,,
1972,Female,Bowel cancer,,,
1973,Female,Bowel cancer,,,
1974,Female,Bowel cancer,,,
1975,Female,Bowel cancer,,,
1976,Female,Bowel cancer,,,
1977,Female,Bowel cancer,,,
1978,Female,Bowel cancer,,,
1979,Female,Bowel cancer,,,
1980,Female,Bowel cancer,,,
1981,Female,Bowel cancer,,,
1982,Female,Bowel cancer,0.53,0.48,0.5
1983,Female,Bowel cancer,0.54,0.5,0.52
1984,Female,Bowel cancer,0.51,0.48,0.49
1985,Female,Bowel cancer,0.51,0.47,0.48
1986,Female,Bowel cancer,0.52,0.48,0.49
1987,Female,Bowel cancer,0.51,0.47,0.48
1988,Female,Bowel cancer,0.5,0.47,0.48
1989,Female,Bowel cancer,0.48,0.45,0.46
1990,Female,Bowel cancer,0.47,0.44,0.45
1991,Female,Bowel cancer,0.44,0.41,0.42
1992,Female,Bowel cancer,0.43,0.39,0.4
1993,Female,Bowel cancer,0.45,0.42,0.43
1994,Female,Bowel cancer,0.44,0.41,0.41
1995,Female,Bowel cancer,0.43,0.4,0.41
1996,Female,Bowel cancer,0.43,0.39,0.4
1997,Female,Bowel cancer,0.41,0.38,0.39
1998,Female,Bowel cancer,0.41,0.38,0.39
1999,Female,Bowel cancer,0.37,0.34,0.35
2000,Female,Bowel cancer,0.38,0.34,0.35
2001,Female,Bowel cancer,0.35,0.33,0.34
2002,Female,Bowel cancer,0.37,0.34,0.35
2003,Female,Bowel cancer,0.33,0.3,0.31
2004,Female,Bowel cancer,0.31,0.28,0.29
2005,Female,Bowel cancer,0.3,0.27,0.28
2006,Female,Bowel cancer,0.26,0.23,0.24
2007,Female,Bowel cancer,0.27,0.25,0.26
2008,Female,Bowel cancer,0.27,0.25,0.26
2009,Female,Bowel cancer,0.27,0.25,0.25
2010,Female,Bowel cancer,0.26,0.23,0.24
2011,Female,Bowel cancer,,,
1968,Persons,Bowel cancer,,,
1969,Persons,Bowel cancer,,,
1970,Persons,Bowel cancer,,,
1971,Persons,Bowel cancer,,,
1972,Persons,Bowel cancer,,,
1973,Persons,Bowel cancer,,,
1974,Persons,Bowel cancer,,,
1975,Persons,Bowel cancer,,,
1976,Persons,Bowel cancer,,,
1977,Persons,Bowel cancer,,,
1978,Persons,Bowel cancer,,,
1979,Persons,Bowel cancer,,,
1980,Persons,Bowel cancer,,,
1981,Persons,Bowel cancer,,,
1982,Persons,Bowel cancer,0.54,0.5,0.52
1983,Persons,Bowel cancer,0.55,0.51,0.52
1984,Persons,Bowel cancer,0.52,0.49,0.5
1985,Persons,Bowel cancer,0.52,0.48,0.49
1986,Persons,Bowel cancer,0.52,0.49,0.5
1987,Persons,Bowel cancer,0.52,0.48,0.49
1988,Persons,Bowel cancer,0.51,0.47,0.49
1989,Persons,Bowel cancer,0.48,0.45,0.46
1990,Persons,Bowel cancer,0.47,0.44,0.45
1991,Persons,Bowel cancer,0.44,0.41,0.42
1992,Persons,Bowel cancer,0.45,0.41,0.42
1993,Persons,Bowel cancer,0.46,0.42,0.43
1994,Persons,Bowel cancer,0.45,0.42,0.43
1995,Persons,Bowel cancer,0.43,0.4,0.41
1996,Persons,Bowel cancer,0.42,0.39,0.4
1997,Persons,Bowel cancer,0.42,0.39,0.4
1998,Persons,Bowel cancer,0.41,0.39,0.4
1999,Persons,Bowel cancer,0.39,0.36,0.37
2000,Persons,Bowel cancer,0.38,0.35,0.36
2001,Persons,Bowel cancer,0.37,0.34,0.35
2002,Persons,Bowel cancer,0.36,0.33,0.34
2003,Persons,Bowel cancer,0.35,0.32,0.33
2004,Persons,Bowel cancer,0.31,0.29,0.29
2005,Persons,Bowel cancer,0.32,0.29,0.3
2006,Persons,Bowel cancer,0.28,0.25,0.26
2007,Persons,Bowel cancer,0.28,0.26,0.27
2008,Persons,Bowel cancer,0.28,0.25,0.26
2009,Persons,Bowel cancer,0.28,0.26,0.26
2010,Persons,Bowel cancer,0.26,0.24,0.25
2011,Persons,Bowel cancer,,,
1968,Male,Brain cancer,,,
1969,Male,Brain cancer,,,
1970,Male,Brain cancer,,,
1971,Male,Brain cancer,,,
1972,Male,Brain cancer,,,
1973,Male,Brain cancer,,,
1974,Male,Brain cancer,,,
1975,Male,Brain cancer,,,
1976,Male,Brain cancer,,,
1977,Male,Brain cancer,,,
1978,Male,Brain cancer,,,
1979,Male,Brain cancer,,,
1980,Male,Brain cancer,,,
1981,Male,Brain cancer,,,
1982,Male,Brain cancer,0.8,0.75,0.76
1983,Male,Brain cancer,0.95,0.87,0.89
1984,Male,Brain cancer,0.9,0.84,0.86
1985,Male,Brain cancer,0.88,0.8,0.83
1986,Male,Brain cancer,0.76,0.71,0.72
1987,Male,Brain cancer,0.79,0.74,0.75
1988,Male,Brain cancer,0.9,0.83,0.85
1989,Male,Brain cancer,0.85,0.81,0.82
1990,Male,Brain cancer,0.91,0.87,0.88
1991,Male,Brain cancer,0.87,0.82,0.83
1992,Male,Brain cancer,0.84,0.78,0.8
1993,Male,Brain cancer,0.91,0.85,0.86
1994,Male,Brain cancer,0.86,0.8,0.82
1995,Male,Brain cancer,0.83,0.78,0.79
1996,Male,Brain cancer,0.87,0.82,0.83
1997,Male,Brain cancer,0.86,0.82,0.83
1998,Male,Brain cancer,0.85,0.81,0.81
1999,Male,Brain cancer,0.82,0.78,0.79
2000,Male,Brain cancer,0.84,0.81,0.81
2001,Male,Brain cancer,0.81,0.76,0.78
2002,Male,Brain cancer,0.8,0.75,0.76
2003,Male,Brain cancer,0.83,0.78,0.79
2004,Male,Brain cancer,0.79,0.76,0.77
2005,Male,Brain cancer,0.75,0.69,0.71
2006,Male,Brain cancer,0.78,0.71,0.73
2007,Male,Brain cancer,0.76,0.72,0.73
2008,Male,Brain cancer,0.79,0.73,0.74
2009,Male,Brain cancer,0.74,0.69,0.71
2010,Male,Brain cancer,0.74,0.7,0.71
2011,Male,Brain cancer,,,
1968,Female,Brain cancer,,,
1969,Female,Brain cancer,,,
1970,Female,Brain cancer,,,
1971,Female,Brain cancer,,,
1972,Female,Brain cancer,,,
1973,Female,Brain cancer,,,
1974,Female,Brain cancer,,,
1975,Female,Brain cancer,,,
1976,Female,Brain cancer,,,
1977,Female,Brain cancer,,,
1978,Female,Brain cancer,,,
1979,Female,Brain cancer,,,
1980,Female,Brain cancer,,,
1981,Female,Brain cancer,,,
1982,Female,Brain cancer,0.81,0.76,0.77
1983,Female,Brain cancer,0.83,0.78,0.8
1984,Female,Brain cancer,0.86,0.77,0.8
1985,Female,Brain cancer,0.88,0.85,0.86
1986,Female,Brain cancer,0.77,0.71,0.73
1987,Female,Brain cancer,0.81,0.76,0.78
1988,Female,Brain cancer,0.82,0.77,0.78
1989,Female,Brain cancer,0.75,0.7,0.71
1990,Female,Brain cancer,0.92,0.85,0.87
1991,Female,Brain cancer,0.78,0.71,0.72
1992,Female,Brain cancer,0.86,0.81,0.83
1993,Female,Brain cancer,0.75,0.7,0.71
1994,Female,Brain cancer,0.87,0.8,0.82
1995,Female,Brain cancer,0.83,0.78,0.8
1996,Female,Brain cancer,0.84,0.78,0.79
1997,Female,Brain cancer,0.87,0.86,0.86
1998,Female,Brain cancer,0.88,0.83,0.85
1999,Female,Brain cancer,0.82,0.76,0.78
2000,Female,Brain cancer,0.81,0.73,0.76
2001,Female,Brain cancer,0.77,0.7,0.72
2002,Female,Brain cancer,0.78,0.72,0.73
2003,Female,Brain cancer,0.78,0.72,0.74
2004,Female,Brain cancer,0.78,0.74,0.75
2005,Female,Brain cancer,0.7,0.66,0.67
2006,Female,Brain cancer,0.71,0.67,0.68
2007,Female,Brain cancer,0.78,0.73,0.74
2008,Female,Brain cancer,0.71,0.65,0.67
2009,Female,Brain cancer,0.69,0.61,0.63
2010,Female,Brain cancer,0.73,0.69,0.7
2011,Female,Brain cancer,,,
1968,Persons,Brain cancer,,,
1969,Persons,Brain cancer,,,
1970,Persons,Brain cancer,,,
1971,Persons,Brain cancer,,,
1972,Persons,Brain cancer,,,
1973,Persons,Brain cancer,,,
1974,Persons,Brain cancer,,,
1975,Persons,Brain cancer,,,
1976,Persons,Brain cancer,,,
1977,Persons,Brain cancer,,,
1978,Persons,Brain cancer,,,
1979,Persons,Brain cancer,,,
1980,Persons,Brain cancer,,,
1981,Persons,Brain cancer,,,
1982,Persons,Brain cancer,0.8,0.75,0.76
1983,Persons,Brain cancer,0.88,0.82,0.84
1984,Persons,Brain cancer,0.89,0.81,0.83
1985,Persons,Brain cancer,0.88,0.82,0.84
1986,Persons,Brain cancer,0.76,0.71,0.73
1987,Persons,Brain cancer,0.79,0.74,0.76
1988,Persons,Brain cancer,0.86,0.8,0.82
1989,Persons,Brain cancer,0.81,0.76,0.77
1990,Persons,Brain cancer,0.91,0.86,0.88
1991,Persons,Brain cancer,0.83,0.77,0.78
1992,Persons,Brain cancer,0.85,0.79,0.81
1993,Persons,Brain cancer,0.84,0.78,0.8
1994,Persons,Brain cancer,0.86,0.8,0.82
1995,Persons,Brain cancer,0.83,0.78,0.79
1996,Persons,Brain cancer,0.86,0.8,0.81
1997,Persons,Brain cancer,0.86,0.83,0.84
1998,Persons,Brain cancer,0.86,0.82,0.83
1999,Persons,Brain cancer,0.82,0.77,0.79
2000,Persons,Brain cancer,0.83,0.78,0.79
2001,Persons,Brain cancer,0.8,0.74,0.76
2002,Persons,Brain cancer,0.79,0.74,0.75
2003,Persons,Brain cancer,0.81,0.75,0.77
2004,Persons,Brain cancer,0.79,0.75,0.76
2005,Persons,Brain cancer,0.72,0.67,0.69
2006,Persons,Brain cancer,0.75,0.7,0.71
2007,Persons,Brain cancer,0.77,0.72,0.73
2008,Persons,Brain cancer,0.76,0.69,0.71
2009,Persons,Brain cancer,0.72,0.66,0.68
2010,Persons,Brain cancer,0.73,0.69,0.7
2011,Persons,Brain cancer,,,
1968,Male,Breast cancer,,,
1969,Male,Breast cancer,,,
1970,Male,Breast cancer,,,
1971,Male,Breast cancer,,,
1972,Male,Breast cancer,,,
1973,Male,Breast cancer,,,
1974,Male,Breast cancer,,,
1975,Male,Breast cancer,,,
1976,Male,Breast cancer,,,
1977,Male,Breast cancer,,,
1978,Male,Breast cancer,,,
1979,Male,Breast cancer,,,
1980,Male,Breast cancer,,,
1981,Male,Breast cancer,,,
1982,Male,Breast cancer,0.31,0.28,0.29
1983,Male,Breast cancer,0.36,0.33,0.32
1984,Male,Breast cancer,0.46,0.37,0.39
1985,Male,Breast cancer,0.19,0.17,0.18
1986,Male,Breast cancer,0.34,0.33,0.33
1987,Male,Breast cancer,0.41,0.36,0.38
1988,Male,Breast cancer,0.44,0.4,0.4
1989,Male,Breast cancer,0.29,0.26,0.27
1990,Male,Breast cancer,0.23,0.21,0.21
1991,Male,Breast cancer,0.25,0.25,0.25
1992,Male,Breast cancer,0.41,0.39,0.39
1993,Male,Breast cancer,0.27,0.21,0.23
1994,Male,Breast cancer,0.26,0.25,0.26
1995,Male,Breast cancer,0.42,0.4,0.41
1996,Male,Breast cancer,0.25,0.24,0.24
1997,Male,Breast cancer,0.3,0.21,0.25
1998,Male,Breast cancer,0.23,0.19,0.2
1999,Male,Breast cancer,0.28,0.29,0.29
2000,Male,Breast cancer,0.28,0.27,0.28
2001,Male,Breast cancer,0.29,0.28,0.28
2002,Male,Breast cancer,0.21,0.19,0.2
2003,Male,Breast cancer,0.1,0.09,0.1
2004,Male,Breast cancer,0.18,0.16,0.17
2005,Male,Breast cancer,0.21,0.18,0.19
2006,Male,Breast cancer,0.27,0.23,0.24
2007,Male,Breast cancer,0.25,0.22,0.23
2008,Male,Breast cancer,0.12,0.12,0.12
2009,Male,Breast cancer,0.26,0.25,0.25
2010,Male,Breast cancer,0.19,0.16,0.16
2011,Male,Breast cancer,,,
1968,Female,Breast cancer,,,
1969,Female,Breast cancer,,,
1970,Female,Breast cancer,,,
1971,Female,Breast cancer,,,
1972,Female,Breast cancer,,,
1973,Female,Breast cancer,,,
1974,Female,Breast cancer,,,
1975,Female,Breast cancer,,,
1976,Female,Breast cancer,,,
1977,Female,Breast cancer,,,
1978,Female,Breast cancer,,,
1979,Female,Breast cancer,,,
1980,Female,Breast cancer,,,
1981,Female,Breast cancer,,,
1982,Female,Breast cancer,0.37,0.35,0.35
1983,Female,Breast cancer,0.38,0.36,0.36
1984,Female,Breast cancer,0.38,0.35,0.36
1985,Female,Breast cancer,0.37,0.35,0.35
1986,Female,Breast cancer,0.35,0.33,0.34
1987,Female,Breast cancer,0.34,0.32,0.32
1988,Female,Breast cancer,0.35,0.32,0.33
1989,Female,Breast cancer,0.34,0.32,0.32
1990,Female,Breast cancer,0.32,0.3,0.31
1991,Female,Breast cancer,0.31,0.29,0.3
1992,Female,Breast cancer,0.3,0.28,0.28
1993,Female,Breast cancer,0.29,0.27,0.27
1994,Female,Breast cancer,0.27,0.25,0.25
1995,Female,Breast cancer,0.26,0.23,0.24
1996,Female,Breast cancer,0.26,0.24,0.25
1997,Female,Breast cancer,0.25,0.23,0.24
1998,Female,Breast cancer,0.23,0.21,0.21
1999,Female,Breast cancer,0.23,0.21,0.21
2000,Female,Breast cancer,0.21,0.19,0.2
2001,Female,Breast cancer,0.21,0.19,0.2
2002,Female,Breast cancer,0.21,0.19,0.2
2003,Female,Breast cancer,0.22,0.2,0.2
2004,Female,Breast cancer,0.21,0.19,0.19
2005,Female,Breast cancer,0.21,0.19,0.2
2006,Female,Breast cancer,0.2,0.17,0.18
2007,Female,Breast cancer,0.2,0.18,0.19
2008,Female,Breast cancer,0.19,0.17,0.18
2009,Female,Breast cancer,0.19,0.17,0.18
2010,Female,Breast cancer,0.19,0.16,0.17
2011,Female,Breast cancer,,,
1968,Persons,Breast cancer,,,
1969,Persons,Breast cancer,,,
1970,Persons,Breast cancer,,,
1971,Persons,Breast cancer,,,
1972,Persons,Breast cancer,,,
1973,Persons,Breast cancer,,,
1974,Persons,Breast cancer,,,
1975,Persons,Breast cancer,,,
1976,Persons,Breast cancer,,,
1977,Persons,Breast cancer,,,
1978,Persons,Breast cancer,,,
1979,Persons,Breast cancer,,,
1980,Persons,Breast cancer,,,
1981,Persons,Breast cancer,,,
1982,Persons,Breast cancer,0.39,0.36,0.36
1983,Persons,Breast cancer,0.39,0.37,0.37
1984,Persons,Breast cancer,0.39,0.36,0.37
1985,Persons,Breast cancer,0.38,0.36,0.36
1986,Persons,Breast cancer,0.36,0.34,0.35
1987,Persons,Breast cancer,0.35,0.33,0.33
1988,Persons,Breast cancer,0.36,0.33,0.34
1989,Persons,Breast cancer,0.35,0.32,0.33
1990,Persons,Breast cancer,0.33,0.31,0.31
1991,Persons,Breast cancer,0.32,0.3,0.3
1992,Persons,Breast cancer,0.31,0.28,0.29
1993,Persons,Breast cancer,0.3,0.27,0.28
1994,Persons,Breast cancer,0.28,0.25,0.26
1995,Persons,Breast cancer,0.27,0.24,0.25
1996,Persons,Breast cancer,0.27,0.25,0.25
1997,Persons,Breast cancer,0.26,0.23,0.24
1998,Persons,Breast cancer,0.24,0.21,0.22
1999,Persons,Breast cancer,0.24,0.21,0.22
2000,Persons,Breast cancer,0.22,0.2,0.2
2001,Persons,Breast cancer,0.22,0.19,0.2
2002,Persons,Breast cancer,0.22,0.2,0.2
2003,Persons,Breast cancer,0.23,0.2,0.21
2004,Persons,Breast cancer,0.22,0.19,0.2
2005,Persons,Breast cancer,0.22,0.19,0.2
2006,Persons,Breast cancer,0.2,0.18,0.19
2007,Persons,Breast cancer,0.21,0.18,0.19
2008,Persons,Breast cancer,0.2,0.17,0.18
2009,Persons,Breast cancer,0.2,0.17,0.18
2010,Persons,Breast cancer,0.19,0.16,0.17
2011,Persons,Breast cancer,,,
1968,Male,Cervical cancer,,,
1969,Male,Cervical cancer,,,
1970,Male,Cervical cancer,,,
1971,Male,Cervical cancer,,,
1972,Male,Cervical cancer,,,
1973,Male,Cervical cancer,,,
1974,Male,Cervical cancer,,,
1975,Male,Cervical cancer,,,
1976,Male,Cervical cancer,,,
1977,Male,Cervical cancer,,,
1978,Male,Cervical cancer,,,
1979,Male,Cervical cancer,,,
1980,Male,Cervical cancer,,,
1981,Male,Cervical cancer,,,
1982,Male,Cervical cancer,,,
1983,Male,Cervical cancer,,,
1984,Male,Cervical cancer,,,
1985,Male,Cervical cancer,,,
1986,Male,Cervical cancer,,,
1987,Male,Cervical cancer,,,
1988,Male,Cervical cancer,,,
1989,Male,Cervical cancer,,,
1990,Male,Cervical cancer,,,
1991,Male,Cervical cancer,,,
1992,Male,Cervical cancer,,,
1993,Male,Cervical cancer,,,
1994,Male,Cervical cancer,,,
1995,Male,Cervical cancer,,,
1996,Male,Cervical cancer,,,
1997,Male,Cervical cancer,,,
1998,Male,Cervical cancer,,,
1999,Male,Cervical cancer,,,
2000,Male,Cervical cancer,,,
2001,Male,Cervical cancer,,,
2002,Male,Cervical cancer,,,
2003,Male,Cervical cancer,,,
2004,Male,Cervical cancer,,,
2005,Male,Cervical cancer,,,
2006,Male,Cervical cancer,,,
2007,Male,Cervical cancer,,,
2008,Male,Cervical cancer,,,
2009,Male,Cervical cancer,,,
2010,Male,Cervical cancer,,,
2011,Male,Cervical cancer,,,
1968,Female,Cervical cancer,,,
1969,Female,Cervical cancer,,,
1970,Female,Cervical cancer,,,
1971,Female,Cervical cancer,,,
1972,Female,Cervical cancer,,,
1973,Female,Cervical cancer,,,
1974,Female,Cervical cancer,,,
1975,Female,Cervical cancer,,,
1976,Female,Cervical cancer,,,
1977,Female,Cervical cancer,,,
1978,Female,Cervical cancer,,,
1979,Female,Cervical cancer,,,
1980,Female,Cervical cancer,,,
1981,Female,Cervical cancer,,,
1982,Female,Cervical cancer,0.37,0.33,0.33
1983,Female,Cervical cancer,0.35,0.32,0.32
1984,Female,Cervical cancer,0.35,0.31,0.31
1985,Female,Cervical cancer,0.35,0.3,0.31
1986,Female,Cervical cancer,0.33,0.31,0.3
1987,Female,Cervical cancer,0.32,0.29,0.29
1988,Female,Cervical cancer,0.33,0.29,0.29
1989,Female,Cervical cancer,0.35,0.31,0.31
1990,Female,Cervical cancer,0.31,0.29,0.29
1991,Female,Cervical cancer,0.3,0.27,0.27
1992,Female,Cervical cancer,0.31,0.27,0.28
1993,Female,Cervical cancer,0.31,0.28,0.28
1994,Female,Cervical cancer,0.3,0.27,0.27
1995,Female,Cervical cancer,0.35,0.32,0.32
1996,Female,Cervical cancer,0.31,0.28,0.28
1997,Female,Cervical cancer,0.34,0.3,0.3
1998,Female,Cervical cancer,0.29,0.26,0.26
1999,Female,Cervical cancer,0.28,0.24,0.24
2000,Female,Cervical cancer,0.33,0.3,0.3
2001,Female,Cervical cancer,0.35,0.31,0.32
2002,Female,Cervical cancer,0.3,0.26,0.27
2003,Female,Cervical cancer,0.31,0.28,0.29
2004,Female,Cervical cancer,0.27,0.23,0.24
2005,Female,Cervical cancer,0.28,0.25,0.25
2006,Female,Cervical cancer,0.3,0.26,0.26
2007,Female,Cervical cancer,0.25,0.22,0.22
2008,Female,Cervical cancer,0.28,0.25,0.25
2009,Female,Cervical cancer,0.29,0.25,0.25
2010,Female,Cervical cancer,0.26,0.23,0.24
2011,Female,Cervical cancer,,,
1968,Persons,Cervical cancer,,,
1969,Persons,Cervical cancer,,,
1970,Persons,Cervical cancer,,,
1971,Persons,Cervical cancer,,,
1972,Persons,Cervical cancer,,,
1973,Persons,Cervical cancer,,,
1974,Persons,Cervical cancer,,,
1975,Persons,Cervical cancer,,,
1976,Persons,Cervical cancer,,,
1977,Persons,Cervical cancer,,,
1978,Persons,Cervical cancer,,,
1979,Persons,Cervical cancer,,,
1980,Persons,Cervical cancer,,,
1981,Persons,Cervical cancer,,,
1982,Persons,Cervical cancer,,,
1983,Persons,Cervical cancer,,,
1984,Persons,Cervical cancer,,,
1985,Persons,Cervical cancer,,,
1986,Persons,Cervical cancer,,,
1987,Persons,Cervical cancer,,,
1988,Persons,Cervical cancer,,,
1989,Persons,Cervical cancer,,,
1990,Persons,Cervical cancer,,,
1991,Persons,Cervical cancer,,,
1992,Persons,Cervical cancer,,,
1993,Persons,Cervical cancer,,,
1994,Persons,Cervical cancer,,,
1995,Persons,Cervical cancer,,,
1996,Persons,Cervical cancer,,,
1997,Persons,Cervical cancer,,,
1998,Persons,Cervical cancer,,,
1999,Persons,Cervical cancer,,,
2000,Persons,Cervical cancer,,,
2001,Persons,Cervical cancer,,,
2002,Persons,Cervical cancer,,,
2003,Persons,Cervical cancer,,,
2004,Persons,Cervical cancer,,,
2005,Persons,Cervical cancer,,,
2006,Persons,Cervical cancer,,,
2007,Persons,Cervical cancer,,,
2008,Persons,Cervical cancer,,,
2009,Persons,Cervical cancer,,,
2010,Persons,Cervical cancer,,,
2011,Persons,Cervical cancer,,,
1968,Male,Chronic lymphocytic leukaemia,,,
1969,Male,Chronic lymphocytic leukaemia,,,
1970,Male,Chronic lymphocytic leukaemia,,,
1971,Male,Chronic lymphocytic leukaemia,,,
1972,Male,Chronic lymphocytic leukaemia,,,
1973,Male,Chronic lymphocytic leukaemia,,,
1974,Male,Chronic lymphocytic leukaemia,,,
1975,Male,Chronic lymphocytic leukaemia,,,
1976,Male,Chronic lymphocytic leukaemia,,,
1977,Male,Chronic lymphocytic leukaemia,,,
1978,Male,Chronic lymphocytic leukaemia,,,
1979,Male,Chronic lymphocytic leukaemia,,,
1980,Male,Chronic lymphocytic leukaemia,,,
1981,Male,Chronic lymphocytic leukaemia,,,
1982,Male,Chronic lymphocytic leukaemia,0.45,0.36,0.4
1983,Male,Chronic lymphocytic leukaemia,0.34,0.31,0.31
1984,Male,Chronic lymphocytic leukaemia,0.43,0.36,0.39
1985,Male,Chronic lymphocytic leukaemia,0.39,0.33,0.36
1986,Male,Chronic lymphocytic leukaemia,0.4,0.34,0.36
1987,Male,Chronic lymphocytic leukaemia,0.47,0.4,0.42
1988,Male,Chronic lymphocytic leukaemia,0.4,0.34,0.36
1989,Male,Chronic lymphocytic leukaemia,0.45,0.39,0.41
1990,Male,Chronic lymphocytic leukaemia,0.33,0.27,0.29
1991,Male,Chronic lymphocytic leukaemia,0.33,0.27,0.29
1992,Male,Chronic lymphocytic leukaemia,0.36,0.29,0.32
1993,Male,Chronic lymphocytic leukaemia,0.39,0.31,0.34
1994,Male,Chronic lymphocytic leukaemia,0.42,0.33,0.36
1995,Male,Chronic lymphocytic leukaemia,0.32,0.27,0.29
1996,Male,Chronic lymphocytic leukaemia,0.39,0.33,0.35
1997,Male,Chronic lymphocytic leukaemia,0.41,0.34,0.37
1998,Male,Chronic lymphocytic leukaemia,0.35,0.29,0.31
1999,Male,Chronic lymphocytic leukaemia,0.33,0.29,0.3
2000,Male,Chronic lymphocytic leukaemia,0.3,0.26,0.28
2001,Male,Chronic lymphocytic leukaemia,0.33,0.28,0.29
2002,Male,Chronic lymphocytic leukaemia,0.3,0.26,0.27
2003,Male,Chronic lymphocytic leukaemia,0.31,0.28,0.28
2004,Male,Chronic lymphocytic leukaemia,0.25,0.21,0.22
2005,Male,Chronic lymphocytic leukaemia,0.31,0.26,0.28
2006,Male,Chronic lymphocytic leukaemia,0.29,0.24,0.26
2007,Male,Chronic lymphocytic leukaemia,0.31,0.25,0.27
2008,Male,Chronic lymphocytic leukaemia,0.3,0.23,0.25
2009,Male,Chronic lymphocytic leukaemia,0.35,0.28,0.31
2010,Male,Chronic lymphocytic leukaemia,0.34,0.26,0.28
2011,Male,Chronic lymphocytic leukaemia,,,
1968,Female,Chronic lymphocytic leukaemia,,,
1969,Female,Chronic lymphocytic leukaemia,,,
1970,Female,Chronic lymphocytic leukaemia,,,
1971,Female,Chronic lymphocytic leukaemia,,,
1972,Female,Chronic lymphocytic leukaemia,,,
1973,Female,Chronic lymphocytic leukaemia,,,
1974,Female,Chronic lymphocytic leukaemia,,,
1975,Female,Chronic lymphocytic leukaemia,,,
1976,Female,Chronic lymphocytic leukaemia,,,
1977,Female,Chronic lymphocytic leukaemia,,,
1978,Female,Chronic lymphocytic leukaemia,,,
1979,Female,Chronic lymphocytic leukaemia,,,
1980,Female,Chronic lymphocytic leukaemia,,,
1981,Female,Chronic lymphocytic leukaemia,,,
1982,Female,Chronic lymphocytic leukaemia,0.47,0.35,0.4
1983,Female,Chronic lymphocytic leukaemia,0.37,0.29,0.33
1984,Female,Chronic lymphocytic leukaemia,0.38,0.29,0.32
1985,Female,Chronic lymphocytic leukaemia,0.44,0.33,0.37
1986,Female,Chronic lymphocytic leukaemia,0.37,0.31,0.34
1987,Female,Chronic lymphocytic leukaemia,0.39,0.32,0.35
1988,Female,Chronic lymphocytic leukaemia,0.44,0.33,0.38
1989,Female,Chronic lymphocytic leukaemia,0.3,0.24,0.26
1990,Female,Chronic lymphocytic leukaemia,0.27,0.22,0.24
1991,Female,Chronic lymphocytic leukaemia,0.32,0.26,0.28
1992,Female,Chronic lymphocytic leukaemia,0.39,0.37,0.37
1993,Female,Chronic lymphocytic leukaemia,0.31,0.26,0.28
1994,Female,Chronic lymphocytic leukaemia,0.33,0.27,0.29
1995,Female,Chronic lymphocytic leukaemia,0.3,0.23,0.26
1996,Female,Chronic lymphocytic leukaemia,0.26,0.2,0.22
1997,Female,Chronic lymphocytic leukaemia,0.4,0.32,0.34
1998,Female,Chronic lymphocytic leukaemia,0.28,0.22,0.24
1999,Female,Chronic lymphocytic leukaemia,0.31,0.24,0.27
